Input File,Preset,Input File Size (MB),Output File Size (MB),VMAF,Encoding Time (s)
input_1.y4m,p1,1483.16,2.5,31.16,1.21
input_1.y4m,p1,1483.16,2.5,31.22,0.97
input_1.y4m,p1,1483.16,2.42,26.29,0.71
input_1.y4m,p2,1483.16,2.5,31.52,1.02
input_1.y4m,p2,1483.16,2.5,31.52,1.02
input_1.y4m,p2,1483.16,2.45,27.82,0.79
input_1.y4m,p3,1483.16,2.49,31.35,1.19
input_1.y4m,p3,1483.16,2.49,31.29,1.17
input_1.y4m,p3,1483.16,2.47,27.44,0.87
input_1.y4m,p4,1483.16,2.49,31.39,1.22
input_1.y4m,p4,1483.16,2.49,31.39,1.23
input_1.y4m,p4,1483.16,2.5,26.6,1.23
input_1.y4m,p5,1483.16,2.49,31.23,1.33
input_1.y4m,p5,1483.16,2.49,31.23,1.34
input_1.y4m,p5,1483.16,2.49,26.73,1.37
input_1.y4m,p6,1483.16,2.5,31.51,1.49
input_1.y4m,p6,1483.16,2.5,31.51,1.49
input_1.y4m,p6,1483.16,2.5,26.75,2.6
input_1.y4m,p7,1483.16,2.5,31.42,1.7
input_1.y4m,p7,1483.16,2.5,31.44,1.69
input_1.y4m,p7,1483.16,2.5,26.77,2.87
